app_name,count,min,mean,Quartile1,median,Quartile3,std,max
Amazon Mobile (Mobile App),828.0,30.0888,119.50581847826085,49.28175,47.1555,167.3595,84.11488427633665,357.8526
Amazon Music with Prime Music (Mobile App),126.0,32.2812,147.70920000000004,53.97839999999999,34.398,210.8295,122.79829577653396,477.7164
Facebook (Mobile App),1910.0,30.618000000000002,2421.2289298429314,926.4874500000001,2764.6542,3681.78615,1683.694726052458,5995.2312
Facebook Messenger (Mobile App),1912.0,30.618000000000002,1396.553956380753,428.6898,1349.649,2101.0846500000002,1138.9054914517321,4386.312
Google Play (Mobile App),1844.0,30.0132,127.6553454989154,53.51535,57.6639,162.72899999999998,109.96601603075113,601.7382
Google Search (Mobile App),1747.0,30.0132,345.808226101889,106.2747,119.8638,432.5265,365.27392287204873,1990.3968
GroupMe (Mobile App),92.0,30.5424,131.11258695652177,57.6828,64.6758,190.40805,86.11582229177144,329.994
Instagram (Mobile App),1092.0,30.0132,465.3683653846154,111.48165,247.2498,728.8407,447.5613405158784,1724.3226
Kindle (Mobile App),129.0,30.9204,344.9012651162791,51.2568,25.4394,482.895,397.40826967593586,1641.2382
Microsoft Word (Mobile App),36.0,30.6558,50.13225,34.93665,11.604600000000001,56.4165,18.736311334571703,103.2318
Netflix (Mobile App),433.0,30.429000000000002,457.9155727482679,79.4934,79.4934,608.769,538.4049905043707,2393.0802
Outlook (Mobile App),211.0,30.1266,195.71890521327015,69.8733,103.2696,300.132,152.7585321710566,586.0512
Pinterest (Mobile App),533.0,30.3156,211.73177110694186,86.0706,104.139,314.1558,172.3358708245638,715.365
Sam's Club (Mobile App),2.0,42.0714,50.084999999999994,46.078199999999995,8.712900000000001,54.0918,11.332941803433036,58.0986
Sam's Club Scan & Go (Mobile App),7.0,33.641999999999996,42.487199999999994,37.4598,3.3264,43.3566,10.28468005336092,63.7686
Snapchat (Mobile App),823.0,30.1266,359.9851997569866,113.4945,208.6182,537.327,321.83043890885784,1250.046
Tumblr (Mobile App),150.0,30.3156,537.850908,159.25140000000002,231.2982,733.3011,552.3466035739995,2255.2236
Walmart (Mobile App),301.0,30.051,70.68355116279069,40.0302,31.128300000000003,91.7406,35.70847700397074,156.4164
Yahoo Mail (Mobile App),396.0,30.429000000000002,248.26199999999997,99.55574999999999,168.98489999999998,376.4124,185.21139591516487,724.2858
Yahoo Newsroom (Mobile App),45.0,30.0888,132.17148,58.023,33.075,179.5878,105.41108346253813,432.0918
YouTube (Mobile App),1754.0,30.0888,519.8122169897377,110.29095000000001,209.8656,714.99645,574.0119426368058,2497.5216
